Id. Acidente;Freguesia;Tipo Natureza;Natureza;Datahora;Entidades Fiscalizadoras;Id. Peao;Sexo;Acções Peão;Distrito;Concelho;Lesões a 30 dias;Peao Gr.Etario(<=5) SUM;Peao Gr.Etario(6-9) SUM;Peao Gr.Etario(10-14) SUM;Peao Gr.Etario(15-17) SUM;Peao Gr.Etario(18-20) SUM;Peao Gr.Etario(21-24) SUM;Peao Gr.Etario(25-29) SUM;Peao Gr.Etario(30-34) SUM;Peao Gr.Etario(35-39) SUM;Peao Gr.Etario(40-44) SUM;Peao Gr.Etario(45-49) SUM;Peao Gr.Etario (50-54) SUM;Peao Gr.Etario (55-59) SUM;Peao Gr.Etario (60-64) SUM;Peao Gr.Etario (65-69) SUM;Peao Gr.Etario (70-74) SUM;Peao Gr.Etario (>=75) SUM;Peao Gr.Etario(Não Def.) SUM
2010422448;Benfica;Atropelamento;Atropelamento de peões;2010:01:07 08:20:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada com desrespeito da sinalização semafórica;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2010436790;Anta;Atropelamento;Atropelamento de peões;2010:02:26 15:30:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Aveiro;Espinho;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010429592;São Sebastião da Pedreira;Atropelamento;Atropelamento de peões;2010:01:29 11:30:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada com desrespeito da sinalização semafórica;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010422744;Braga (São Vítor);Atropelamento;Atropelamento de peões;2010:01:08 08:20:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Braga;Braga;Ferido leve;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010437323;Tarouca;Atropelamento;Atropelamento de peões;2010:01:28 12:15:00;Guarda Nacional Republicana;1;Masculino;Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo;Viseu;Tarouca;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010428672;Vitória;Atropelamento;Atropelamento de peões;2010:01:24 13:10:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Porto;Porto;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2010436533;Mina;Atropelamento;Atropelamento com fuga;2010:02:26 16:15:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Lisboa;Amadora;Ferido leve;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010437972;Santo Condestável;Atropelamento;Atropelamento de peões;2010:03:03 22:50:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Lisboa;Lisboa;Ferido leve;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010436894;Baixa da Banheira;Atropelamento;Atropelamento de peões;2010:02:25 09:30:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Setúbal;Moita;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010434381;Camarate;Atropelamento;Atropelamento de peões;2010:01:12 07:20:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Lisboa;Loures;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2010428801;São Brás;Atropelamento;Atropelamento de peões;2010:01:21 08:30:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Lisboa;Amadora;Ferido leve;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2010429106;Damaia;Atropelamento;Atropelamento de peões;2010:01:06 18:30:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Lisboa;Amadora;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2010430654;Calendário;Atropelamento;Atropelamento de peões;2010:02:02 13:50:00;Polícia de Segurança Pública;1;Feminino;NÃO DEFINIDO;Braga;Vila Nova de Famalicao;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2010432649;Mesão Frio;Atropelamento;Atropelamento de peões;2010:02:02 10:05:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Braga;Guimaraes;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2010428978;Ameixoeira;Atropelamento;Atropelamento de peões;2010:01:24 08:10:00;Polícia de Segurança Pública;2;Feminino;Em plena faixa de rodagem;Lisboa;Lisboa;Ferido leve;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010426803;Braga (São Vítor);Atropelamento;Atropelamento de peões;2010:01:12 08:50:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Braga;Braga;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2010430722;Faro (São Pedro);Atropelamento;Atropelamento de peões;2010:02:01 18:00:00;Polícia de Segurança Pública;1;Masculino;Transitando pela berma ou passeio;Faro;Faro;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2010421145;São Mamede;Atropelamento;Atropelamento de peões;2010:01:04 09:50:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2010422349;Tomar (São João Baptista);Atropelamento;Atropelamento de peões;2010:01:01 00:35:00;Polícia de Segurança Pública;1;Feminino;Transitando pela berma ou passeio;Santarém;Tomar;Ferido leve;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010434476;São Sebastião da Pedreira;Atropelamento;Atropelamento de peões;2010:02:11 16:00:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010449746;Benfica;Atropelamento;Atropelamento de peões;2010:04:23 17:40:00;Polícia de Segurança Pública;1;Masculino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Lisboa;Lisboa;Ferido leve;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010452604;Gondifelos;Atropelamento;Atropelamento de peões;2010:03:23 16:00:00;Guarda Nacional Republicana;1;Masculino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Braga;Vila Nova de Famalicao;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
